测试类型,文件,编号,推荐分,特征标签,回放链接,json绝对地址,数据目录,类型,总赢,倍率,请求数,掉落次数,补牌总数,消除位置总数,wp中奖位置总数,wild总数(可见盘面),单次最大wild数(可见盘面),是否免费旋转,免费送胡,是否金色百搭,中奖线,Scatter,起始SID,结束SID,spinId,起始余额,结束余额,为什么要测
免费中大奖,181.json,181,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=181,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/181.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,952.00,23.80,23,22,50,51,52,1,1,是,是,是,2,3,701077,701196,5641779692717691,9473388.0,9474300.0,Big Win / 23段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费中大奖,738.json,738,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=738,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/738.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,760.00,19.00,19,18,28,33,34,5,2,是,是,是,2,3,703661,703712,5241779695217235,9465104.0,9465824.0,Big Win / 19段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费中大奖,344.json,344,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=344,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/344.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,720.00,18.00,33,32,46,47,47,1,1,是,是,是,2,3,702404,702476,3631779694179939,9473298.0,9473978.0,Big Win / 33段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
Super Mega Win,827.json,827,155,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=827,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/827.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Super Mega Win,4208.00,105.20,6,5,28,30,32,2,2,否,否,是,2,0,703935,703944,8451779695452783,9464354.0,9468522.0,Super Mega Win / 6段连消/续转 / 金色符号/百搭转换
Mega Win,279.json,279,145,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=279,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/279.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Mega Win,1440.00,36.00,2,1,9,9,9,0,0,否,否,是,1,2,701438,701439,3321779692953074,9472096.0,9473496.0,Mega Win / 2段连消/续转 / 金色符号/百搭转换
Big Win,316.json,316,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=316,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/316.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,1296.00,32.40,3,2,15,15,15,0,0,否,否,是,2,1,702307,702311,4911779694119739,9472818.0,9474074.0,Big Win / 3段连消/续转 / 金色符号/百搭转换
Big Win,187.json,187,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=187,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/187.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,888.00,22.20,4,3,14,14,14,0,0,否,否,是,1,1,701221,701228,7181779692803690,9474100.0,9474948.0,Big Win / 4段连消/续转 / 金色符号/百搭转换
Big Win,947.json,947,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=947,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/947.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,Big Win,700.00,17.50,3,2,13,13,13,0,0,否,否,是,1,1,704281,704285,1681779695688748,9465264.0,9465924.0,Big Win / 3段连消/续转 / 金色符号/百搭转换
免费送胡,683.json,683,125,免费旋转 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=683,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/683.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,普通中奖,632.00,15.80,18,17,22,23,23,1,1,是,是,是,1,3,703431,703480,9811779695049167,9465506.0,9466098.0,18段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费送胡,657.json,657,125,免费旋转 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays1/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842&debugStart=657,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842/657.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong1date/0525_0842,普通中奖,272.00,6.80,18,17,28,28,28,0,0,是,是,是,2,3,703324,703368,6081779694943002,9466162.0,9466394.0,18段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
