测试类型,文件,编号,推荐分,特征标签,回放链接,json绝对地址,数据目录,类型,总赢,倍率,请求数,掉落次数,补牌总数,消除位置总数,wp中奖位置总数,wild总数(可见盘面),单次最大wild数(可见盘面),是否免费旋转,免费送胡,是否金色百搭,中奖线,Scatter,起始SID,结束SID,spinId,起始余额,结束余额,为什么要测
Big Win,079.json,79,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=79,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/079.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,Big Win,1026.00,25.65,4,3,20,22,22,2,2,否,否,是,2,1,672635,672641,1779439350030f0145bae1b54679e257aba4404523f41,1655794.0,1656780.0,Big Win / 4段连消/续转 / 金色符号/百搭转换
连消/掉落,037.json,37,90,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=37,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/037.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,144.00,3.60,4,3,22,25,29,3,2,否,否,是,3,0,672522,672529,1779439178613f0145bae1b54679e257aba4404523f41,1656884.0,1656988.0,4段连消/续转 / 金色符号/百搭转换 / 多线中奖 3线
连消/掉落,045.json,45,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=45,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/045.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,216.00,5.40,2,1,9,10,10,1,1,否,否,是,1,2,672552,672553,1779439218430f0145bae1b54679e257aba4404523f41,1656812.0,1656988.0,2段连消/续转 / 金色符号/百搭转换
连消/掉落,038.json,38,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=38,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/038.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,96.00,2.40,2,1,8,8,8,0,0,否,否,是,1,1,672531,672533,1779439190180f0145bae1b54679e257aba4404523f41,1656988.0,1657044.0,2段连消/续转 / 金色符号/百搭转换
连消/掉落,097.json,97,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=97,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/097.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,84.00,2.10,4,3,17,18,18,1,1,否,否,是,2,1,673035,673042,1779439962967f0145bae1b54679e257aba4404523f41,1656422.0,1656466.0,4段连消/续转 / 金色符号/百搭转换
连消/掉落,091.json,91,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=91,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/091.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,80.00,2.00,2,1,7,7,7,0,0,否,否,是,1,1,673007,673009,1779439929450f0145bae1b54679e257aba4404523f41,1656484.0,1656524.0,2段连消/续转 / 金色符号/百搭转换
连消/掉落,094.json,94,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=94,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/094.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,72.00,1.80,2,1,8,8,8,0,0,否,否,是,1,0,673022,673024,1779439947634f0145bae1b54679e257aba4404523f41,1656464.0,1656496.0,2段连消/续转 / 金色符号/百搭转换
连消/掉落,084.json,84,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=84,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/084.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,64.00,1.60,4,3,12,13,14,1,1,否,否,是,2,1,672672,672681,1779439391664f0145bae1b54679e257aba4404523f41,1656644.0,1656668.0,4段连消/续转 / 金色符号/百搭转换
连消/掉落,087.json,87,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=87,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/087.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,56.00,1.40,2,1,12,12,12,0,0,否,否,是,2,2,672693,672695,1779439409547f0145bae1b54679e257aba4404523f41,1656588.0,1656604.0,2段连消/续转 / 金色符号/百搭转换
连消/掉落,003.json,3,75,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526&debugStart=3,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526/003.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0526,普通中奖,52.00,1.30,3,2,10,10,10,0,0,否,否,是,1,0,672444,672447,1779439046080f0145bae1b54679e257aba4404523f41,1658064.0,1658076.0,3段连消/续转 / 金色符号/百搭转换
