测试类型,文件,编号,推荐分,特征标签,回放链接,json绝对地址,数据目录,类型,总赢,倍率,请求数,掉落次数,补牌总数,消除位置总数,wp中奖位置总数,wild总数(可见盘面),单次最大wild数(可见盘面),是否免费旋转,免费送胡,是否金色百搭,中奖线,Scatter,起始SID,结束SID,spinId,起始余额,结束余额,为什么要测
免费中大奖,001.json,1,220,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=1,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/001.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Super Mega Win,3454.00,86.35,23,22,78,100,118,22,4,是,是,是,3,3,683773,683878,4671779682087283,9481362.0,9484776.0,Super Mega Win / 23段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,958.json,958,220,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=958,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/958.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Super Mega Win,3212.00,80.30,27,26,86,111,120,25,4,是,是,是,3,3,696380,696463,5101779685708802,9475128.0,9478300.0,Super Mega Win / 27段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,443.json,443,195,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=443,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/443.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Mega Win,1640.00,41.00,23,22,45,65,68,20,3,是,是,是,2,3,685522,686006,9581779683865155,9476478.0,9478810.0,Mega Win / 23段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费中大奖,623.json,623,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=623,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/623.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Big Win,1088.00,27.20,18,17,36,48,53,12,5,是,是,是,2,3,691002,691437,7711779684803290,9479106.0,9480154.0,Big Win / 18段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
Super Mega Win,615.json,615,155,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=615,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/615.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Super Mega Win,3012.00,75.30,4,3,29,31,31,2,1,否,否,是,2,0,690740,690771,9191779684761376,9476274.0,9479246.0,Super Mega Win / 4段连消/续转 / 金色符号/百搭转换
Big Win,940.json,940,150,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=940,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/940.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Big Win,872.00,21.80,3,2,23,26,35,3,3,否,否,是,4,1,696346,696348,7441779685675436,9474886.0,9475718.0,Big Win / 3段连消/续转 / 金色符号/百搭转换 / 多线中奖 4线
Big Win,562.json,562,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=562,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/562.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Big Win,1216.00,30.40,4,3,20,21,21,1,1,否,否,是,1,0,689938,689964,1181779684632175,9475836.0,9477012.0,Big Win / 4段连消/续转 / 金色符号/百搭转换
Big Win,677.json,677,135,金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=677,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/677.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,Big Win,910.00,22.75,5,4,25,27,28,2,1,否,否,是,2,0,692559,692599,3181779685055057,9479506.0,9480376.0,Big Win / 5段连消/续转 / 金色符号/百搭转换
免费送胡,787.json,787,125,免费旋转 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=787,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/787.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,普通中奖,674.00,16.85,22,21,46,64,69,18,5,是,是,是,2,3,693928,694450,2391779685271323,9477504.0,9478138.0,22段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费送胡,334.json,334,125,免费旋转 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523&debugStart=334,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523/334.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0523,普通中奖,488.00,12.20,13,12,8,11,11,3,2,是,是,是,1,3,684543,684567,1901779683176156,9477302.0,9477750.0,13段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
